,line,title,image_url,scraped_at,image_name,next_bid_auction,price_buy_now,ends_on,time_remaining,seconds_remaining,sale_type
240,starwars,Lego Star Wars Sammlung,https://img.ricardostatic.ch/t_1800x1350/pl/1150667090/3/1/,2020-12-28 09:54:05,240_legosets.jpg,,330.0,2020-12-29 10:24:00,1 days 00:29:55,1795,buy_now
241,starwars,LEGO Star Wars 75087 - Anakin's Custom,https://img.ricardostatic.ch/t_1800x1350/pl/1112253158/6/1/,2020-12-28 09:54:09,241_legosets.jpg,35.0,50.0,2021-01-03 17:32:00,6 days 07:37:51,27471,both
242,starwars,LEGO Star Wars Minifigur - Kithaba,https://img.ricardostatic.ch/t_1000x750/pl/1147476418/1/1/lego-star-wars-minifigur-kithaba.jpg,2020-12-28 09:54:12,242_legosets.jpg,4.0,,2020-12-28 20:57:00,0 days 11:02:48,39768,auction
243,starwars,LEGO Star Wars 7675 - AT-TE Rex,https://img.ricardostatic.ch/t_1800x1350/pl/1140138540/2/1/,2020-12-28 09:54:16,243_legosets.jpg,209.0,249.0,2021-01-05 11:32:00,8 days 01:37:44,5864,both
244,starwars,LEGO Star Wars 75020 Jabbas Sail Barge,https://img.ricardostatic.ch/t_1800x1350/pl/1127859234/5/1/,2020-12-28 09:54:20,244_legosets.jpg,199.0,239.0,2020-12-30 15:31:00,2 days 05:36:40,20200,both
245,starwars,Lego Star Wars Sammlung Set,https://img.ricardostatic.ch/t_1800x1350/pl/1151987444/1/1/,2020-12-28 09:54:24,245_legosets.jpg,39.0,,2021-01-03 14:24:00,6 days 04:29:36,16176,auction
246,starwars,Lego Star Wars Stormtrooper Licht,https://img.ricardostatic.ch/t_1800x1350/pl/1151988640/1/1/,2020-12-28 09:54:28,246_legosets.jpg,9.9,,2021-01-03 14:31:00,6 days 04:36:32,16592,auction
247,starwars,LEGO Star Wars Minifigur - Clone Trooper,https://img.ricardostatic.ch/t_1000x750/pl/1152010482/0/1/lego-star-wars-minifigur-clone-trooper.jpg,2020-12-28 09:54:32,247_legosets.jpg,,9.9,2021-01-06 16:58:00,9 days 07:03:28,25408,buy_now
248,starwars,LEGO Star Wars Stormtrooper Minifigur,https://img.ricardostatic.ch/t_1000x750/pl/1152058592/0/1/lego-star-wars-stormtrooper-minifigur.jpg,2020-12-28 09:54:35,248_legosets.jpg,,9.9,2021-01-06 21:43:00,9 days 11:48:25,42505,buy_now
249,starwars,Lego Star Wars,https://img.ricardostatic.ch/t_1800x1350/pl/1147636000/0/1/,2020-12-28 09:54:39,249_legosets.jpg,7.0,,2020-12-29 13:42:00,1 days 03:47:21,13641,auction
250,starwars,LEGO Star Wars Minifigur - Jar Jar Binks,https://img.ricardostatic.ch/t_1800x1350/pl/1147629308/1/1/,2020-12-28 09:54:43,250_legosets.jpg,5.0,,2020-12-29 20:50:00,1 days 10:55:17,39317,auction
251,starwars,Lego Star Wars 7915,https://img.ricardostatic.ch/t_1800x1350/pl/1147500200/2/1/,2020-12-28 09:54:47,251_legosets.jpg,15.0,,2020-12-30 22:38:00,2 days 12:43:13,45793,auction
252,starwars,Lego Star Wars 75092,https://img.ricardostatic.ch/t_1800x1350/pl/1147501374/2/1/,2020-12-28 09:54:51,252_legosets.jpg,40.0,,2020-12-30 22:40:00,2 days 12:45:09,45909,auction
253,starwars,LEGO Star Wars T-6 Jedi Shuttle 7931,https://img.ricardostatic.ch/t_1800x1350/pl/1128238590/5/1/,2020-12-28 09:54:54,253_legosets.jpg,69.0,99.0,2021-01-04 16:31:00,7 days 06:36:06,23766,both
254,starwars,Lego 9494 Anakin’s Jedi Interceptor,https://img.ricardostatic.ch/t_1800x1350/pl/1150548192/2/1/,2020-12-28 09:54:58,254_legosets.jpg,,12.9,2020-12-29 13:41:00,1 days 03:46:02,13562,buy_now
255,starwars,2 rare Lego Star Wars Figuren ab 1Fr.,https://img.ricardostatic.ch/t_1800x1350/pl/1132745480/2/1/,2020-12-28 09:55:02,255_legosets.jpg,21.0,89.0,2021-01-03 21:39:00,6 days 11:43:58,42238,both
256,starwars,Lego Star Wars Figuren ab 1Fr.,https://img.ricardostatic.ch/t_1800x1350/pl/1133562302/2/1/,2020-12-28 09:55:06,256_legosets.jpg,41.0,89.0,2021-01-03 21:42:00,6 days 11:46:54,42414,both
257,starwars,4 Lego Star Wars minifigures,https://img.ricardostatic.ch/t_1800x1350/pl/1150019108/1/1/,2020-12-28 09:55:10,257_legosets.jpg,,27.9,2020-12-30 23:49:00,2 days 13:53:50,50030,buy_now
